v-sweep,v(eps_s),v(alpha),vdd#branch
0.000000000000000000e+00,5.000000000000000104e-03,0.000000000000000000e+00,6.212302000000000275e-05
9.817476999999999454e-02,5.000000000000000104e-03,9.817476999999999454e-02,6.212302000000000275e-05
1.963495000000000101e-01,5.000000000000000104e-03,1.963495000000000101e-01,6.212302000000000275e-05
2.945243000000000166e-01,5.000000000000000104e-03,2.945243000000000166e-01,6.212302000000000275e-05
3.926991000000000231e-01,5.000000000000000104e-03,3.926991000000000231e-01,6.212302000000000275e-05
4.908738999999999741e-01,5.000000000000000104e-03,4.908738999999999741e-01,6.212302000000000275e-05
5.890486000000000333e-01,5.000000000000000104e-03,5.890486000000000333e-01,6.212302000000000275e-05
6.872234000000000398e-01,5.000000000000000104e-03,6.872234000000000398e-01,6.212302000000000275e-05
7.853982000000000463e-01,5.000000000000000104e-03,7.853982000000000463e-01,6.212302000000000275e-05
8.835728999999999944e-01,5.000000000000000104e-03,8.835728999999999944e-01,6.212302000000000275e-05
9.817477000000000009e-01,5.000000000000000104e-03,9.817477000000000009e-01,6.212302000000000275e-05
1.079922000000000049e+00,5.000000000000000104e-03,1.079922000000000049e+00,6.212302000000000275e-05
1.178096999999999950e+00,5.000000000000000104e-03,1.178096999999999950e+00,6.212302000000000275e-05
1.276272000000000073e+00,5.000000000000000104e-03,1.276272000000000073e+00,6.212302000000000275e-05
1.374446999999999974e+00,5.000000000000000104e-03,1.374446999999999974e+00,6.212302000000000275e-05
1.472622000000000098e+00,5.000000000000000104e-03,1.472622000000000098e+00,6.212302000000000275e-05
1.570796000000000081e+00,5.000000000000000104e-03,1.570796000000000081e+00,6.212302000000000275e-05
